2025-04-27 20:11:37,998 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=11, micro=12, releaselevel='final', serial=0)
2025-04-27 20:11:37,998 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.3.1-arm64-arm-64bit
2025-04-27 20:11:37,998 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-27 20:13:32,153 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-27 20:13:34,694 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-27 20:14:05,960 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-27 20:27:00,268 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-04-27 20:27:34,909 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-27 20:28:45,178 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-27 20:28:47,776 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-27 20:29:18,470 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-27 20:30:39,409 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-27 20:30:43,877 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-27 20:40:17,361 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-27 20:40:39,831 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-27 20:40:42,370 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-27 20:59:26,148 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-27 21:02:46,417 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-27 21:02:49,121 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-27 21:04:11,787 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-27 21:06:43,140 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-27 21:06:45,698 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-04-27 21:07:41,709 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-04-27 21:08:07,906 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-04-27 21:08:10,507 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
