2025-04-12 21:01:48,908 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2025-04-12 21:01:48,910 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2025-04-15 14:15:32,947 | MainThread   | [INFO    ] | stop                |: Simulator is stopped
2025-04-15 14:15:32,949 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2025-04-20 00:45:51,032 | MainThread   | [ERROR   ] | stop                |: Simulator is not running
2025-04-20 00:45:51,033 | MainThread   | [INFO    ] | stop                |: Plotter is stopped
2025-04-20 00:46:00,838 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-20 00:46:02,137 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2025-04-20 00:46:02,754 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2025-04-20 00:51:22,303 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-21 00:49:03,776 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-21 00:49:05,161 | MainThread   | [INFO    ] | start               |: Creating New Simulator Process
2025-04-21 00:49:05,788 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2025-04-27 20:11:30,418 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 20:26:42,597 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 20:26:43,189 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2025-04-27 20:28:36,485 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 20:28:36,935 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2025-04-27 20:40:25,900 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 20:40:26,169 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2025-04-27 20:40:32,174 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2025-04-27 21:02:38,674 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 21:02:39,366 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2025-04-27 21:06:38,964 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 21:09:54,509 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 21:15:42,946 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 21:15:49,136 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2025-04-27 21:24:37,257 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 21:24:38,160 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2025-04-27 23:39:51,686 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 23:40:01,566 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 23:40:03,127 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2025-04-27 23:44:30,547 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2025-04-27 23:47:54,768 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 23:47:55,063 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2025-04-27 23:52:15,322 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 23:52:15,575 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2025-04-27 23:57:06,434 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 23:57:06,680 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2025-04-27 23:59:50,376 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-27 23:59:50,812 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2025-04-28 11:49:56,603 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2025-04-28 18:53:05,557 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-28 18:53:06,053 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2025-04-28 18:56:49,091 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-28 18:56:49,337 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2025-04-28 19:27:07,470 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2025-04-28 19:27:07,670 | MainThread   | [ERROR   ] | start               |: Plotter is already running
