2025-05-13 22:47:33,528 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-13 22:47:33,530 | MainThread   | [INFO    ] | <module>            |: info
2025-05-13 22:47:33,539 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-13 22:47:33,541 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-13 22:47:33,543 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-13 22:47:33,792 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-13 22:47:36,468 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-13 22:48:52,794 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-13 22:50:19,785 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-13 22:50:19,786 | MainThread   | [INFO    ] | <module>            |: info
2025-05-13 22:50:19,787 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-13 22:50:19,788 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-13 22:50:19,789 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-13 22:50:20,068 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-13 22:50:22,610 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-13 22:50:45,341 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-13 22:52:48,776 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-13 22:52:53,364 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-13 23:00:33,878 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-13 23:00:52,507 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-13 23:01:04,605 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-13 23:03:25,667 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-13 23:03:28,215 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-13 23:04:21,290 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-13 23:05:12,555 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-13 23:05:18,120 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-13 23:05:32,000 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-13 23:08:08,885 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-13 23:08:11,401 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-13 23:08:18,351 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-13 23:08:22,120 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-13 23:08:30,691 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-13 23:08:48,501 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-13 23:09:50,467 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-13 23:09:55,114 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-13 23:10:29,481 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-05-13 23:44:15,940 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-13 23:44:22,655 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
2025-05-13 23:44:30,362 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:e4:22:02:64
2025-05-13 23:45:04,003 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B9E76412-E4C0-18B7-0B21-A6BEFE645FB5
2025-05-14 00:12:11,471 | MainThread   | [DEBUG   ] | <module>            |: debug
2025-05-14 00:12:11,471 | MainThread   | [INFO    ] | <module>            |: info
2025-05-14 00:12:11,472 | MainThread   | [WARNING ] | <module>            |: warning
2025-05-14 00:12:11,473 | MainThread   | [ERROR   ] | <module>            |: error
2025-05-14 00:12:11,474 | MainThread   | [CRITICAL] | <module>            |: critical
2025-05-14 00:12:11,929 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:e4:22:02:64
